#,Region,Country/Territory,2000,2011,2021 population (thousands),2030,2045,Type,Tpye1 diabetes 0-19 (thousands)
2,Europe,Europe,N/A,N/A,"221,820.00",N/A,N/A,Region,294.9
6,South-East Asia,South-East Asia,N/A,N/A,"563,552.20",N/A,N/A,Region,244.5
9,Europe,Albania,-,-,680.4,-,-,Country,0.5
12,Europe,Andorra,-,-,14.4,-,-,Country,0
17,Europe,Armenia,-,-,790.6,-,-,Country,0.5
20,Europe,Austria,-,-,"1,756.50",-,-,Country,3.6
21,Europe,Azerbaijan,-,-,"3,031.90",-,-,Country,1.9
24,South-East Asia,Bangladesh,-,-,"59,226.70",-,-,Country,5.9
26,Europe,Belarus,-,-,"2,084.90",-,-,Country,1.1
27,Europe,Belgium,-,-,"2,621.10",-,-,Country,4.3
31,South-East Asia,Bhutan,-,-,260.3,-,-,Country,0.1
33,Europe,Bosnia and Herzegovina,-,-,628.6,-,-,Country,0.5
38,Europe,Bulgaria,-,-,"1,337.20",-,-,Country,1.1
103,South-East Asia,India,-,-,"485,464.90",-,-,Country,229.4
131,South-East Asia,Maldives,-,-,134.2,-,-,Country,0.1
137,South-East Asia,Mauritius,-,-,301.8,-,-,Country,0
149,South-East Asia,Nepal,-,-,"11,454.80",-,-,Country,5.6
198,South-East Asia,Sri Lanka,-,-,"6,709.60",-,-,Country,3.3
